Categoria,Nivel,POSICION,RANGO SALARIAL,CODIGO POSICION,SALARIO LOCAL,SALARIO BORDERLESS
"Entry 
Level",L1,SOCIAL MEDIA MANAGER,Med,TWW-SOME-MAN-BL,7500,1107.594937
"Entry 
Level",L1,DIGITAL GRAPHIC DESIGNER MID,Med,TWW-DGD-MID-BL,9000,1329.113924
"Entry 
Level",L1,MOTION DESIGNER JR,Med,TWW-MD-JR-BL,9000,1329.113924
Frontline,L2,UX/UI DESIGNER MID,Med,TWW-UXUID-MID-BL,12000,1772.151899
Frontline,L2,QUALITY ASSURANCE MID,Med,TWW-QA-MID-BL,10000,1476.793249
Frontline,L2,DIGITAL CONTENT GENERATOR,Med,TWW-DCG-BL,10000,1476.793249
Frontline,L2,BACKEND DEVELOPER JR,Med,TWW-BD-JR-BL,10000,1476.793249
Frontline,L3,UX/UI DESIGNER MID,Med,TWW-UXUID-MID-BL,12000,1772.151899
Frontline,L3,WEB DEVELOPER MID,Med,TWW-WEBD-MID-BL,12500,1845.991561
Frontline,L3,FRONTEND DEVELOPER MID,Med,TWW-FROD-MID-BL,12500,1845.991561
Frontline,L3,BACKEND DEVELOPER MID,Med,TWW-BD-MID-BL,12500,1845.991561
Management,L4,FULLSTACK DEVELOPER MID,Med,TWW-FULD-MID-BL,12500,1845.991561
Management,L4,IT COORDINATOR,Med,TWW-ITC-BL,12000,1772.151899
Management,L4,DIGITAL GRAPHIC DESIGNER SR,Med,TWW-DGD-SR-BL,12000,1772.151899
Management,L5,WEB DEVELOPER MID,Med,TWW-WEBD-MID-BL,12500,1845.991561
Management,L5,ANDROID DEVELOPER MID,Med,TWW-AND-MID-BL,12500,1845.991561
Management,L5,FULLSTACK DEVELOPER MID,Med,TWW-FULD-MID-BL,12500,1845.991561
Management,L5,BACKEND DEVELOPER MID,Med,TWW-BD-MID-BL,12500,1845.991561
Management,L5,FLUTTER DEVELOPER MID,Med,TWW-FLUD-MID-BL,12500,1845.991561
Management,L5,PRODUCT OWNER MID,Med,TWW-PO-MID-BL,16000,2362.869198
Management,L5,SOCIAL MEDIA DIRECTOR LEAD,Med,TWW-SOMEDI-LEAD-BL,18000,2658.227848
Management,L5,PRODUCT OWNER MID,Med,TWW-PO-MID-BL,16000,2362.869198
Management,L5,BACKEND DEVELOPER SR,Med,TWW-BD-SR-BL,16500,2436.708861
Management,L5,WEB DEVELOPER SR,Med,TWW-WEBD-SR-BL,16500,2436.708861
Management,L5,CLOUD ENGINEER Y DEVOPS,Med,TWW-CED-BL,16500,2436.708861
Management,L5,PRODUCT OWNER SR,Med,TWW-PO-SR-BL,22000,3248.945148
Management,L5,SENIOR MAGENTO DEVELOPER,Med,TWW-MAGD-SR-BL,16000,2362.869198
Management,L5,IOS DEVELOPER MID,Med,TWW-IOSD-MID-BL,18000,2658.227848
Management,L5,SOLUTIONS ARQUITECT,Med,TWW-SOLARQ-BL,18000,2658.227848
Sr Management,L6,QUALITY ASSURANCE SR,Med,TWW-QA-SR-BL,16000,2362.869198
Sr Management,L6,ANDROID DEVELOPER SR,Med,TWW-AND-SR-BL,16500,2436.708861
Sr Management,L6,BACKEND DEVELOPER SR,Med,TWW-BD-SR-BL,16500,2436.708861
Sr Management,L6,WEB DEVELOPER SR,Med,TWW-WEBD-SR-BL,16500,2436.708861
Sr Management,L6,FLUTTER DEVELOPER SR,Med,TWW-FLUD-SR-BL,16500,2436.708861
Sr Management,L6,FULLSTACK DEVELOPER SR,Med,TWW-FULD-SR-BL,16500,2436.708861
Sr Management,L6,SCRUM MASTER SR,Med,TWW-SCMAS-SR-BL,20000,2953.586498
Sr Management,L6,PLO,Med,TWW-PLO-BL,20000,2953.586498
Sr Management,L6,SCRUM MASTER SR,Med,TWW-SCMAS-SR-BL,20000,2953.586498
Sr Management,L6,IOS DEVELOPER MID,Med,TWW-IOSD-MID-BL,18000,2658.227848
Sr Management,L6,BACKEND DEVELOPER LEAD,Med,TWW-BD-LEAD-BL,24000,3544.303797
Sr Management,L6,LEAD DESIGNER,Med,TWW-UXUID-LEAD-BL,25000,3691.983122
Sr Management,L6,IOS DEVELOPER LEAD,Med,TWW-IOSD-LEAD-BL,25000,3691.983122
Sr Management,L6,IOS DEVELOPER SR,Med,TWW-IOSD-SR-BL,22500,3322.78481
Sr Management,L6,ANDROID DEVELOPER LEAD,Med,TWW-AND-LEAD-BL,24000,3544.303797
Sr Management,L7,COO / CPO,Med,TWW-COO/CPO-BL,0,0
Sr Management,L7,MOBILE MANAGER,Med,TWW-MOB-MAN-BL,39270,5799.367089
Sr Management,L7,CTO,Med,TWW-CTO-BL,40000,5907.172996
"Entry 
Level",L1,SOCIAL MEDIA OPTIMIZATION,Max,TWW-SOME-OPT-AL,0,0
"Entry 
Level",L1,SOCIAL MEDIA MANAGER,Max,TWW-SOME-MAN-AL,9000,1329.113924
"Entry 
Level",L1,DIGITAL GRAPHIC DESIGNER MID,Max,TWW-DGD-MID-AL,10800,1594.936709
"Entry 
Level",L1,MOTION DESIGNER JR,Max,TWW-MD-JR-AL,10800,1594.936709
Frontline,L2,UX/UI DESIGNER MID,Max,TWW-UXUID-MID-AL,14400,2126.582278
Frontline,L2,QUALITY ASSURANCE MID,Max,TWW-QA-MID-AL,12000,1772.151899
Frontline,L2,DIGITAL CONTENT GENERATOR,Max,TWW-DCG-AL,12000,1772.151899
Frontline,L2,BACKEND DEVELOPER JR,Max,TWW-BD-JR-AL,12000,1772.151899
Frontline,L3,UX/UI DESIGNER MID,Max,TWW-UXUID-MID-AL,14400,2126.582278
Frontline,L3,WEB DEVELOPER MID,Max,TWW-WEBD-MID-AL,15000,2215.189873
Frontline,L3,FRONTEND DEVELOPER MID,Max,TWW-FROD-MID-AL,15000,2215.189873
Frontline,L3,BACKEND DEVELOPER MID,Max,TWW-BD-MID-AL,15000,2215.189873
Management,L4,FULLSTACK DEVELOPER MID,Max,TWW-FULD-MID-AL,15000,2215.189873
Management,L4,IT COORDINATOR,Max,TWW-ITC-AL,14400,2126.582278
Management,L4,DIGITAL GRAPHIC DESIGNER SR,Max,TWW-DGD-SR-AL,14400,2126.582278
Management,L5,WEB DEVELOPER MID,Max,TWW-WEBD-MID-AL,15000,2215.189873
Management,L5,ANDROID DEVELOPER MID,Max,TWW-AND-MID-AL,15000,2215.189873
Management,L5,FULLSTACK DEVELOPER MID,Max,TWW-FULD-MID-AL,15000,2215.189873
Management,L5,BACKEND DEVELOPER MID,Max,TWW-BD-MID-AL,15000,2215.189873
Management,L5,FLUTTER DEVELOPER MID,Max,TWW-FLUD-MID-AL,15000,2215.189873
Management,L5,PRODUCT OWNER MID,Max,TWW-PO-MID-AL,19200,2835.443038
Management,L5,SOCIAL MEDIA DIRECTOR LEAD,Max,TWW-SOMEDI-LEAD-AL,21600,3189.873418
Management,L5,PRODUCT OWNER MID,Max,TWW-PO-MID-AL,19200,2835.443038
Management,L5,BACKEND DEVELOPER SR,Max,TWW-BD-SR-AL,19800,2924.050633
Management,L5,WEB DEVELOPER SR,Max,TWW-WEBD-SR-AL,19800,2924.050633
Management,L5,CLOUD ENGINEER Y DEVOPS,Max,TWW-CED-AL,19800,2924.050633
Management,L5,PRODUCT OWNER SR,Max,TWW-PO-SR-AL,26400,3898.734177
Management,L5,SENIOR MAGENTO DEVELOPER,Max,TWW-MAGD-SR-AL,19200,2835.443038
Management,L5,IOS DEVELOPER MID,Max,TWW-IOSD-MID-AL,21600,3189.873418
Management,L5,SOLUTIONS ARQUITECT,Max,TWW-SOLARQ-AL,21600,3189.873418
Sr Management,L6,QUALITY ASSURANCE SR,Max,TWW-QA-SR-AL,19200,2835.443038
Sr Management,L6,ANDROID DEVELOPER SR,Max,TWW-AND-SR-AL,19800,2924.050633
Sr Management,L6,BACKEND DEVELOPER SR,Max,TWW-BD-SR-AL,19800,2924.050633
Sr Management,L6,WEB DEVELOPER SR,Max,TWW-WEBD-SR-AL,19800,2924.050633
Sr Management,L6,FLUTTER DEVELOPER SR,Max,TWW-FLUD-SR-AL,19800,2924.050633
Sr Management,L6,FULLSTACK DEVELOPER SR,Max,TWW-FULD-SR-AL,19800,2924.050633
Sr Management,L6,SCRUM MASTER SR,Max,TWW-SCMAS-SR-AL,24000,3544.303797
Sr Management,L6,PLO,Max,TWW-PLO-AL,24000,3544.303797
Sr Management,L6,SCRUM MASTER SR,Max,TWW-SCMAS-SR-AL,24000,3544.303797
Sr Management,L6,IOS DEVELOPER MID,Max,TWW-IOSD-MID-AL,21600,3189.873418
Sr Management,L6,BACKEND DEVELOPER LEAD,Max,TWW-BD-LEAD-AL,28800,4253.164557
Sr Management,L6,LEAD DESIGNER,Max,TWW-UXUID-LEAD-AL,30000,4430.379747
Sr Management,L6,IOS DEVELOPER LEAD,Max,TWW-IOSD-LEAD-AL,30000,4430.379747
Sr Management,L6,IOS DEVELOPER SR,Max,TWW-IOSD-SR-AL,27000,3987.341772
Sr Management,L6,ANDROID DEVELOPER LEAD,Max,TWW-AND-LEAD-AL,28800,4253.164557
Sr Management,L7,COO / CPO,Max,TWW-COO/CPO-AL,0,0
Sr Management,L7,MOBILE MANAGER,Max,TWW-MOB-MAN-AL,47124,6959.240506
Sr Management,L7,CTO,Max,TWW-CTO-AL,48000,7088.607595
"Entry 
Level",L1,SOCIAL MEDIA OPTIMIZATION,Min,TWW-SOME-OPT-CB,0,0
"Entry 
Level",L1,SOCIAL MEDIA MANAGER,Min,TWW-SOME-MAN-CB,6000,886.0759494
"Entry 
Level",L1,DIGITAL GRAPHIC DESIGNER MID,Min,TWW-DGD-MID-CB,7200,1063.291139
"Entry 
Level",L1,MOTION DESIGNER JR,Min,TWW-MD-JR-CB,7200,1063.291139
Frontline,L2,UX/UI DESIGNER MID,Min,TWW-UXUID-MID-CB,9600,1417.721519
Frontline,L2,QUALITY ASSURANCE MID,Min,TWW-QA-MID-CB,8000,1181.434599
Frontline,L2,DIGITAL CONTENT GENERATOR,Min,TWW-DCG-CB,8000,1181.434599
Frontline,L2,BACKEND DEVELOPER JR,Min,TWW-BD-JR-CB,8000,1181.434599
Frontline,L3,UX/UI DESIGNER MID,Min,TWW-UXUID-MID-CB,9600,1417.721519
Frontline,L3,WEB DEVELOPER MID,Min,TWW-WEBD-MID-CB,10000,1476.793249
Frontline,L3,FRONTEND DEVELOPER MID,Min,TWW-FROD-MID-CB,10000,1476.793249
Frontline,L3,BACKEND DEVELOPER MID,Min,TWW-BD-MID-CB,10000,1476.793249
Management,L4,FULLSTACK DEVELOPER MID,Min,TWW-FULD-MID-CB,10000,1476.793249
Management,L4,IT COORDINATOR,Min,TWW-ITC-CB,9600,1417.721519
Management,L4,DIGITAL GRAPHIC DESIGNER SR,Min,TWW-DGD-SR-CB,9600,1417.721519
Management,L5,WEB DEVELOPER MID,Min,TWW-WEBD-MID-CB,10000,1476.793249
Management,L5,ANDROID DEVELOPER MID,Min,TWW-AND-MID-CB,10000,1476.793249
Management,L5,FULLSTACK DEVELOPER MID,Min,TWW-FULD-MID-CB,10000,1476.793249
Management,L5,BACKEND DEVELOPER MID,Min,TWW-BD-MID-CB,10000,1476.793249
Management,L5,FLUTTER DEVELOPER MID,Min,TWW-FLUD-MID-CB,10000,1476.793249
Management,L5,PRODUCT OWNER MID,Min,TWW-PO-MID-CB,12800,1890.295359
Management,L5,SOCIAL MEDIA DIRECTOR LEAD,Min,TWW-SOMEDI-LEAD-CB,14400,2126.582278
Management,L5,PRODUCT OWNER MID,Min,TWW-PO-MID-CB,12800,1890.295359
Management,L5,BACKEND DEVELOPER SR,Min,TWW-BD-SR-CB,13200,1949.367089
Management,L5,WEB DEVELOPER SR,Min,TWW-WEBD-SR-CB,13200,1949.367089
Management,L5,CLOUD ENGINEER Y DEVOPS,Min,TWW-CED-CB,13200,1949.367089
Management,L5,PRODUCT OWNER SR,Min,TWW-PO-SR-CB,17600,2599.156118
Management,L5,SENIOR MAGENTO DEVELOPER,Min,TWW-MAGD-SR-CB,12800,1890.295359
Management,L5,IOS DEVELOPER MID,Min,TWW-IOSD-MID-CB,14400,2126.582278
Management,L5,SOLUTIONS ARQUITECT,Min,TWW-SOLARQ-CB,14400,2126.582278
Sr Management,L6,QUALITY ASSURANCE SR,Min,TWW-QA-SR-CB,12800,1890.295359
Sr Management,L6,ANDROID DEVELOPER SR,Min,TWW-AND-SR-CB,13200,1949.367089
Sr Management,L6,BACKEND DEVELOPER SR,Min,TWW-BD-SR-CB,13200,1949.367089
Sr Management,L6,WEB DEVELOPER SR,Min,TWW-WEBD-SR-CB,13200,1949.367089
Sr Management,L6,FLUTTER DEVELOPER SR,Min,TWW-FLUD-SR-CB,13200,1949.367089
Sr Management,L6,FULLSTACK DEVELOPER SR,Min,TWW-FULD-SR-CB,13200,1949.367089
Sr Management,L6,SCRUM MASTER SR,Min,TWW-SCMAS-SR-CB,16000,2362.869198
Sr Management,L6,PLO,Min,TWW-PLO-CB,16000,2362.869198
Sr Management,L6,SCRUM MASTER SR,Min,TWW-SCMAS-SR-CB,16000,2362.869198
Sr Management,L6,IOS DEVELOPER MID,Min,TWW-IOSD-MID-CB,14400,2126.582278
Sr Management,L6,BACKEND DEVELOPER LEAD,Min,TWW-BD-LEAD-CB,19200,2835.443038
Sr Management,L6,LEAD DESIGNER,Min,TWW-UXUID-LEAD-CB,20000,2953.586498
Sr Management,L6,IOS DEVELOPER LEAD,Min,TWW-IOSD-LEAD-CB,20000,2953.586498
Sr Management,L6,IOS DEVELOPER SR,Min,TWW-IOSD-SR-CB,18000,2658.227848
Sr Management,L6,ANDROID DEVELOPER LEAD,Min,TWW-AND-LEAD-CB,19200,2835.443038
Sr Management,L7,COO / CPO,Min,TWW-COO/CPO-CB,0,0
Sr Management,L7,MOBILE MANAGER,Min,TWW-MOB-MAN-CB,31416,4639.493671
Sr Management,L7,CTO,Min,TWW-CTO-CB,32000,4725.738397
"Entry 
Level",L1,SOCIAL MEDIA OPTIMIZATION,Med,TWW-SOME-OPT-BB,0,0
"Entry 
Level",L1,SOCIAL MEDIA MANAGER,Med,TWW-SOME-MAN-BB,7500,1107.594937
"Entry 
Level",L1,DIGITAL GRAPHIC DESIGNER MID,Med,TWW-DGD-MID-BB,9000,1329.113924
"Entry 
Level",L1,MOTION DESIGNER JR,Med,TWW-MD-JR-BB,9000,1329.113924
Frontline,L2,UX/UI DESIGNER MID,Med,TWW-UXUID-MID-BB,12000,1772.151899
Frontline,L2,QUALITY ASSURANCE MID,Med,TWW-QA-MID-BB,10000,1476.793249
Frontline,L2,DIGITAL CONTENT GENERATOR,Med,TWW-DCG-BB,10000,1476.793249
Frontline,L2,BACKEND DEVELOPER JR,Med,TWW-BD-JR-BB,10000,1476.793249
Frontline,L3,UX/UI DESIGNER MID,Med,TWW-UXUID-MID-BB,12000,1772.151899
Frontline,L3,WEB DEVELOPER MID,Med,TWW-WEBD-MID-BB,12500,1845.991561
Frontline,L3,FRONTEND DEVELOPER MID,Med,TWW-FROD-MID-BB,12500,1845.991561
Frontline,L3,BACKEND DEVELOPER MID,Med,TWW-BD-MID-BB,12500,1845.991561
Management,L4,FULLSTACK DEVELOPER MID,Med,TWW-FULD-MID-BB,12500,1845.991561
Management,L4,IT COORDINATOR,Med,TWW-ITC-BB,12000,1772.151899
Management,L4,DIGITAL GRAPHIC DESIGNER SR,Med,TWW-DGD-SR-BB,12000,1772.151899
Management,L5,WEB DEVELOPER MID,Med,TWW-WEBD-MID-BB,12500,1845.991561
Management,L5,ANDROID DEVELOPER MID,Med,TWW-AND-MID-BB,12500,1845.991561
Management,L5,FULLSTACK DEVELOPER MID,Med,TWW-FULD-MID-BB,12500,1845.991561
Management,L5,BACKEND DEVELOPER MID,Med,TWW-BD-MID-BB,12500,1845.991561
Management,L5,FLUTTER DEVELOPER MID,Med,TWW-FLUD-MID-BB,12500,1845.991561
Management,L5,PRODUCT OWNER MID,Med,TWW-PO-MID-BB,16000,2362.869198
Management,L5,SOCIAL MEDIA DIRECTOR LEAD,Med,TWW-SOMEDI-LEAD-BB,18000,2658.227848
Management,L5,PRODUCT OWNER MID,Med,TWW-PO-MID-BB,16000,2362.869198
Management,L5,BACKEND DEVELOPER SR,Med,TWW-BD-SR-BB,16500,2436.708861
Management,L5,WEB DEVELOPER SR,Med,TWW-WEBD-SR-BB,16500,2436.708861
Management,L5,CLOUD ENGINEER Y DEVOPS,Med,TWW-CED-BB,16500,2436.708861
Management,L5,PRODUCT OWNER SR,Med,TWW-PO-SR-BB,22000,3248.945148
Management,L5,SENIOR MAGENTO DEVELOPER,Med,TWW-MAGD-SR-BB,16000,2362.869198
Management,L5,IOS DEVELOPER MID,Med,TWW-IOSD-MID-BB,18000,2658.227848
Management,L5,SOLUTIONS ARQUITECT,Med,TWW-SOLARQ-BB,18000,2658.227848
Sr Management,L6,QUALITY ASSURANCE SR,Med,TWW-QA-SR-BB,16000,2362.869198
Sr Management,L6,ANDROID DEVELOPER SR,Med,TWW-AND-SR-BB,16500,2436.708861
Sr Management,L6,BACKEND DEVELOPER SR,Med,TWW-BD-SR-BB,16500,2436.708861
Sr Management,L6,WEB DEVELOPER SR,Med,TWW-WEBD-SR-BB,16500,2436.708861
Sr Management,L6,FLUTTER DEVELOPER SR,Med,TWW-FLUD-SR-BB,16500,2436.708861
Sr Management,L6,FULLSTACK DEVELOPER SR,Med,TWW-FULD-SR-BB,16500,2436.708861
Sr Management,L6,SCRUM MASTER SR,Med,TWW-SCMAS-SR-BB,20000,2953.586498
Sr Management,L6,PLO,Med,TWW-PLO-BB,20000,2953.586498
Sr Management,L6,SCRUM MASTER SR,Med,TWW-SCMAS-SR-BB,20000,2953.586498
Sr Management,L6,IOS DEVELOPER MID,Med,TWW-IOSD-MID-BB,18000,2658.227848
Sr Management,L6,BACKEND DEVELOPER LEAD,Med,TWW-BD-LEAD-BB,24000,3544.303797
Sr Management,L6,LEAD DESIGNER,Med,TWW-UXUID-LEAD-BB,25000,3691.983122
Sr Management,L6,IOS DEVELOPER LEAD,Med,TWW-IOSD-LEAD-BB,25000,3691.983122
Sr Management,L6,IOS DEVELOPER SR,Med,TWW-IOSD-SR-BB,22500,3322.78481
Sr Management,L6,ANDROID DEVELOPER LEAD,Med,TWW-AND-LEAD-BB,24000,3544.303797
Sr Management,L7,COO / CPO,Med,TWW-COO/CPO-BB,0,0
Sr Management,L7,MOBILE MANAGER,Med,TWW-MOB-MAN-BB,39270,5799.367089
Sr Management,L7,CTO,Med,TWW-CTO-BB,40000,5907.172996
"Entry 
Level",L1,SOCIAL MEDIA OPTIMIZATION,Max,TWW-SOME-OPT-AB,0,0
"Entry 
Level",L1,SOCIAL MEDIA MANAGER,Max,TWW-SOME-MAN-AB,9000,1329.113924
"Entry 
Level",L1,DIGITAL GRAPHIC DESIGNER MID,Max,TWW-DGD-MID-AB,10800,1594.936709
"Entry 
Level",L1,MOTION DESIGNER JR,Max,TWW-MD-JR-AB,10800,1594.936709
Frontline,L2,UX/UI DESIGNER MID,Max,TWW-UXUID-MID-AB,14400,2126.582278
Frontline,L2,QUALITY ASSURANCE MID,Max,TWW-QA-MID-AB,12000,1772.151899
Frontline,L2,DIGITAL CONTENT GENERATOR,Max,TWW-DCG-AB,12000,1772.151899
Frontline,L2,BACKEND DEVELOPER JR,Max,TWW-BD-JR-AB,12000,1772.151899
Frontline,L3,UX/UI DESIGNER MID,Max,TWW-UXUID-MID-AB,14400,2126.582278
Frontline,L3,WEB DEVELOPER MID,Max,TWW-WEBD-MID-AB,15000,2215.189873
Frontline,L3,FRONTEND DEVELOPER MID,Max,TWW-FROD-MID-AB,15000,2215.189873
Frontline,L3,BACKEND DEVELOPER MID,Max,TWW-BD-MID-AB,15000,2215.189873
Management,L4,FULLSTACK DEVELOPER MID,Max,TWW-FULD-MID-AB,15000,2215.189873
Management,L4,IT COORDINATOR,Max,TWW-ITC-AB,14400,2126.582278
Management,L4,DIGITAL GRAPHIC DESIGNER SR,Max,TWW-DGD-SR-AB,14400,2126.582278
Management,L5,WEB DEVELOPER MID,Max,TWW-WEBD-MID-AB,15000,2215.189873
Management,L5,ANDROID DEVELOPER MID,Max,TWW-AND-MID-AB,15000,2215.189873
Management,L5,FULLSTACK DEVELOPER MID,Max,TWW-FULD-MID-AB,15000,2215.189873
Management,L5,BACKEND DEVELOPER MID,Max,TWW-BD-MID-AB,15000,2215.189873
Management,L5,FLUTTER DEVELOPER MID,Max,TWW-FLUD-MID-AB,15000,2215.189873
Management,L5,PRODUCT OWNER MID,Max,TWW-PO-MID-AB,19200,2835.443038
Management,L5,SOCIAL MEDIA DIRECTOR LEAD,Max,TWW-SOMEDI-LEAD-AB,21600,3189.873418
Management,L5,PRODUCT OWNER MID,Max,TWW-PO-MID-AB,19200,2835.443038
Management,L5,BACKEND DEVELOPER SR,Max,TWW-BD-SR-AB,19800,2924.050633
Management,L5,WEB DEVELOPER SR,Max,TWW-WEBD-SR-AB,19800,2924.050633
Management,L5,CLOUD ENGINEER Y DEVOPS,Max,TWW-CED-AB,19800,2924.050633
Management,L5,PRODUCT OWNER SR,Max,TWW-PO-SR-AB,26400,3898.734177
Management,L5,SENIOR MAGENTO DEVELOPER,Max,TWW-MAGD-SR-AB,19200,2835.443038
Management,L5,IOS DEVELOPER MID,Max,TWW-IOSD-MID-AB,21600,3189.873418
Management,L5,SOLUTIONS ARQUITECT,Max,TWW-SOLARQ-AB,21600,3189.873418
Sr Management,L6,QUALITY ASSURANCE SR,Max,TWW-QA-SR-AB,19200,2835.443038
Sr Management,L6,ANDROID DEVELOPER SR,Max,TWW-AND-SR-AB,19800,2924.050633
Sr Management,L6,BACKEND DEVELOPER SR,Max,TWW-BD-SR-AB,19800,2924.050633
Sr Management,L6,WEB DEVELOPER SR,Max,TWW-WEBD-SR-AB,19800,2924.050633
Sr Management,L6,FLUTTER DEVELOPER SR,Max,TWW-FLUD-SR-AB,19800,2924.050633
Sr Management,L6,FULLSTACK DEVELOPER SR,Max,TWW-FULD-SR-AB,19800,2924.050633
Sr Management,L6,SCRUM MASTER SR,Max,TWW-SCMAS-SR-AB,24000,3544.303797
Sr Management,L6,PLO,Max,TWW-PLO-AB,24000,3544.303797
Sr Management,L6,SCRUM MASTER SR,Max,TWW-SCMAS-SR-AB,24000,3544.303797
Sr Management,L6,IOS DEVELOPER MID,Max,TWW-IOSD-MID-AB,21600,3189.873418
Sr Management,L6,BACKEND DEVELOPER LEAD,Max,TWW-BD-LEAD-AB,28800,4253.164557
Sr Management,L6,LEAD DESIGNER,Max,TWW-UXUID-LEAD-AB,30000,4430.379747
Sr Management,L6,IOS DEVELOPER LEAD,Max,TWW-IOSD-LEAD-AB,30000,4430.379747
Sr Management,L6,IOS DEVELOPER SR,Max,TWW-IOSD-SR-AB,27000,3987.341772
Sr Management,L6,ANDROID DEVELOPER LEAD,Max,TWW-AND-LEAD-AB,28800,4253.164557
Sr Management,L7,COO / CPO,Max,TWW-COO/CPO-AB,0,0
